Visit_ID,Guest_ID,Visitor,spot,title,uri
22278.0,22278.0,Hr. Arnholdt von Heilbrunn Muss. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22292.0,22292.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Friedrich Bayha,http://de.wikipedia.org/wiki/Friedrich_Bayha
22296.0,22296.0,"Xaveri Schönbachler, von Einsiedlen.",Schönbachler,Marco Schönbächler,http://de.wikipedia.org/wiki/Marco_Sch%C3%B6nb%C3%A4chler
22300.0,22300.0,Hr. Wepfer von Dieffenhoffen f. 2.,Wepfer,Johann Jakob Wepfer,http://de.wikipedia.org/wiki/Johann_Jakob_Wepfer
22302.0,22302.0,Mr. Peyrot de Geneve.,Peyrot,Adrien Peyrot,http://de.wikipedia.org/wiki/Adrien_Peyrot
22303.0,22303.0,"Guillebert, Mr. Meuron de Neufchatel.",de Neufchatel,Jean I. de Neufchâtel,http://de.wikipedia.org/wiki/Jean_I._de_Neufch%C3%A2tel
22311.0,22311.0,Hr. Arnholdt von Heilbrunn Mufi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22333.0,22333.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Friedrich Bayha,http://de.wikipedia.org/wiki/Friedrich_Bayha
22339.0,22339.0,Hr. Wepfer von Dieffenhoffen f. 3.,Wepfer,Johann Jakob Wepfer,http://de.wikipedia.org/wiki/Johann_Jakob_Wepfer
22341.0,22341.0,Mr. Peyrot de Geneve.,Peyrot,Adrien Peyrot,http://de.wikipedia.org/wiki/Adrien_Peyrot
22350.0,22350.0,Hr. Arnholdt von Heilbrunn Musi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22364.0,22364.0,Forrer von Winterthur.,Forrer,Emma Sulzer-Forrer,http://de.wikipedia.org/wiki/Emma_Sulzer-Forrer
22369.0,22369.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
22376.0,22376.0,Hr. Wepfer von Diessenhoffen f. 2.,Wepfer,Johann Jakob Wepfer,http://de.wikipedia.org/wiki/Johann_Jakob_Wepfer
22379.0,22379.0,Mr. Peyrot de Geneve.,Peyrot,Adrien Peyrot,http://de.wikipedia.org/wiki/Adrien_Peyrot
22388.0,22388.0,Hr Arnholdt von Heilbrunn Mus. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22410.0,22410.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
22414.0,22414.0,Mr. Morell de Savoye f 2.,Morell,Andreas Morell,http://de.wikipedia.org/wiki/Andreas_Morell
22420.0,22420.0,Mr. Peyrot Mr. Hanhardt de Geneve.,Peyrot,Adrien Peyrot,http://de.wikipedia.org/wiki/Adrien_Peyrot
