Visitor,Occurrences
reinhard von wangen,2
mr aubertin de luneville,2
mr collon mad mignon de barleduc,2
3 landl   1 handw   3 pilger,2
kieser von lenzburg,2
cafpar lübfch von glarus 4 landl,2
franz kurtz aus landegg,2
hugenin aelter von müllhausen,2
mad probt von biel,2
7 handw,2
2 landleuth,2
marcer de meziere mr pion de befanson,2
schwanen 5 landl,2
ryhener hr le grand und frauen von basel,2
perutty de turin mr bono di belgirate,2
mr faffanno de mylan f 2,2
pfarrer russenacht von liechtensteg,2
hr chriftian haag von augfpurg krämer,2
hr ziegler von winterthur,2
jac ruthishaufer von gütingen,2
meyer von hohenembs f 3,2
beker von glarus,2
gallot de soleure,2
berta di belgirafe,2
richelmi mr bock de turin,2
joly de geneve,2
hr koch von dieffenhoffen,2
1 landl 3 handw,2
undervogt müller von schmerikon,2
grüttert von keffikon,2
2 kutscher von morsee,1
mr simon gros de savoye,1
fridrich stadler von stuttgardt,1
mr andreas caliatj de milan,1
meinrad wattenhofer f 5 von lachen,1
hr pfau und deffen frau von schaffhaufen,1
jgfr gutin von baden,1
andreas hausler v wattweil,1
jgfr elsbeth heller von winterthur,1
jacob scherzinger von utweil,1
rebattu de dyon,1
4 französische recreut,1
4 lbndl,1
frau fosterin von scheffhausen,1
hr hegner von winterthur         hr schweizer v lachen,1
joseph keller von endigen,1
dorothea eiberching von erlang,1
iseli hr marty von glarus,1
mr christoff cassi di bergamo f 4 mr gibert de metz,1
7 landl 4 handw,1
3 holländische sergeant 1 rerouten,1
mazzachelli di gallazeth,1
jacob sigel von isenberg f 2,1
hr hüttenrauch von lucern,1
hanhardt von diessenhoffen f 2,1
schilplj von brugg,1
marianne huber von bremgarten,1
margaretha schmid von weilhausen,1
paer ignatzi von mindelheim,1
3 schwaben 3 landl,1
hr merz von kaysersheim f 8,1
jgfr anna maria rudolfin von gelterdingen,1
jacob zehner von hundweil,1
stephan schneider von hindelbank f 2,1
conrad tanner von herisau f 2,1
hr jacob meyer von ravensburg,1
hr martin aus böhmen,1
rodelmayer hr rool von regensburg,1
